LOCATIONS,LATITUDE,LONGITUDE,SEVERITY,NH
HARIPAD,9.279894992,76.45909308,2,66
THOTTAPPALLY,9.319365988,76.38392353,3,66
AMBALAPUZHA,9.377788542,76.35745288,3,66
ERAMALLOOR,9.823587901,76.31109863,3,66
AROOR,9.878093984,76.30388958,3,66
VYTTILA,9.968209949,76.318214,4,66
KARUKUTTY,10.22700853,76.37487069,4,544
KARAYAMPARAMBU,10.21056048,76.38166842,5,544
ATHANI,10.15301345,76.35478874,5,544
SITHARA JNC,8.865098,76.6795869,4,66
ITHIKKARA BRIDGE,8.863460399,76.69813404,4,66
CHATHANNOOR,8.862325448,76.71776229,4,66
NEENDAKARA,8.9469493,76.5364626,4,66
PUTHENTHURA,8.965011291,76.53068323,4,66
PUTHIYAKAVU,9.0776193,76.5318772,4,66
CHANGANKULANGARA,9.1121375,76.5192583,5,66
PAPPANAMCODE,8.4696758,76.980682,5,66
VELLAYANI,8.457530403,76.99985417,5,66
ALAMCODE,8.721177098,76.8127365,4,66
MAMAM,8.679645873,76.82430011,5,66
KODAKARA,10.370589,76.307815,4,544
PERAMBRA,10.34490863,76.32158739,4,544
POTTA,10.32442275,76.32395669,5,544
AMBALLUR,10.43512521,76.26424993,4,544
FEROKE,11.17345198,75.83507,5,17
ALAMCODE,8.72460958,76.81744272,4,47
KANJIKODE,10.79757527,76.7433661,5,47
KASARAGOD,12.49924794,74.98566857,3,66
SEETHANGOLI,12.59140143,75.00193015,4,66
POINACHI,12.46717916,75.06398425,5,66
OLACK,12.6363214,74.94437419,3,66
UPPALA,12.67958929,74.90424886,4,66